"101","500"," roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virgin","../cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img3_645e1bdb-fe37-4348-88ab-595835df3be2_1024x1024d017.jpg?v=1595130334","This is new Product","600","3","67","-30","234","101"
"102","300"," roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virgin","../cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img8_641f035e-dad9-4829-a1ff-1b0824ac638d_1024x10247336.jpg?v=1598167350","This is new Product","450","4","11","0","23","101"
"103","34500","Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur.","//cdn.shopify.com/s/files/1/0414/3998/5820/products/el_img11_0a9c2286-5f20-4599-b92d-b687a4d995fa_1024x1024.jpg?v=1596083714","Dell New Monitor","35000","4","36","1","43","101"
"104","4500","A long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like.","//cdn.shopify.com/s/files/1/0414/3998/5820/products/el_img8_e53e5af5-d8f0-4d5b-a024-b57de84c7906_1024x1024.jpg?v=1596083552","CCTV Camera","5000","3","40","-3","45","101"
"105","4500","A long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like.","///cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img10_3d978723-abee-4d24-a8e4-479406c3ec78_1024x1024.jpg?v=1595130428","T-Shart New Brand","5000","3","37","0","43","101"
"106","600","A long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years,","//cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img2_8ac7efc8-ab51-4076-83d9-8cfb02e99ba7_1024x1024.jpg?v=1595130325","Brand New Cort ","7500","3","36","0","234","101"
"107","600","This is description","//cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img2_8ac7efc8-ab51-4076-83d9-8cfb02e99ba7_1024x1024.jpg?v=1595130325","Brand New Cort ","7500","3","34","2","234","101"
"108","600","This is description","//cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img2_8ac7efc8-ab51-4076-83d9-8cfb02e99ba7_1024x1024.jpg?v=1595130325","Brand New Cort ","7500","3","34","2","235","101"
"109","600","This is description","//cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img2_8ac7efc8-ab51-4076-83d9-8cfb02e99ba7_1024x1024.jpg?v=1595130325","Brand New Cort ","7500","3","35","1","234","102"
"110","600","This is description","//cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img2_8ac7efc8-ab51-4076-83d9-8cfb02e99ba7_1024x1024.jpg?v=1595130325","Brand New Cort ","7500","3","35","1","234","102"
"111","600","This is description","//cdn.shopify.com/s/files/1/0414/3998/5820/products/product_img2_8ac7efc8-ab51-4076-83d9-8cfb02e99ba7_1024x1024.jpg?v=1595130325","Brand New Cort ","7500","3","34","2","234","102"
